speed_bin_mph,pedal_bin_pct,total_time_s,distance_miles,fuel_gal,mpg
0,0,739.4929999999991,0.0026371915511452866,0.12171797003243862,0.021666410887746963
0,1,0.595999999999691,7.711297720299187e-06,0.0001071129489062693,0.07199220821608662
0,2,0.5169999999984611,1.158133017272762e-05,9.203880382972448e-05,0.12583095054292048
0,3,0.7809999999983006,4.651471996852739e-05,0.00016484544729096,0.28217169920638885
0,4,1.0470000000040898,0.00013074841183878888,0.0001922028714715077,0.6802625311358634
0,5,1.0370000000006314,4.797973841243533e-05,0.00019261735708027688,0.2490935351814576
0,6,0.8040000000007979,5.945831896924557e-05,0.00014824845108204186,0.40107210925489445
0,7,1.0829999999981794,7.31433764475551e-05,0.00020847750195758982,0.3508454186218833
0,8,0.5150000000001569,2.5955819836896197e-05,0.00010120217719950587,0.25647491541341
0,9,2.5139999999972247,0.00012154502343987256,0.0005106714200642424,0.23801023253774847
0,10,1.359000000001572,9.221405376803749e-05,0.0002583394984939397,0.356949108849496
0,11,0.7850000000014461,3.709179892555482e-05,0.000151861035103248,0.24424829516232838
0,12,1.274000000000342,7.512748234602198e-05,0.0002526298880110321,0.2973816080809142
0,13,0.9809999999984029,0.00010457304883528651,0.00021583703351868308,0.48450002824114313
0,14,1.264000000001488,0.00013551386231931662,0.0002839022888683841,0.4773257125170282
0,15,1.1439999999995507,8.569356882854595e-05,0.000222155332974953,0.3857371672378781
0,16,1.8910000000005311,0.00010906824298094734,0.0004855967269101945,0.22460662713881563
0,17,1.2490000000010468,7.814062669039353e-05,0.00035274383537410174,0.22152230274278684
0,18,1.1309999999967886,5.960978820045966e-05,0.0002929022964130491,0.20351423983510966
0,19,1.074000000001206,0.00010435925443787308,0.0002978273031462065,0.3504019051827563
0,20,0.7889999999995325,6.438384533446273e-05,0.00020655411129933494,0.3117044968480859
0,21,0.6819999999993342,2.8586526904361753e-05,0.00017647342670611122,0.16198771360612907
0,22,0.8280000000004861,0.00010281693251603713,0.00025581589310342444,0.40191768880625806
0,23,0.5070000000002892,3.249310093405144e-05,0.00015755177538081904,0.20623760573635072
0,24,0.4950000000003456,5.3208565530387496e-05,0.0002096812052444806,0.2537593460908824
0,25,0.1430000000001428,1.6248382863735914e-05,4.993811499586225e-05,0.3253703682063734
0,26,0.07899999999972351,1.2682876445763575e-05,3.697977079322323e-05,0.3429679571753265
0,27,0.056999999999561624,0.0,1.1484146164934266e-05,0.0
0,28,0.055000000000063665,0.0,1.0963140172870876e-05,0.0
0,29,0.4190000000002101,2.1440758193546573e-05,0.00023788904149776657,0.09012923865073402
0,30,0.04899999999997817,0.0,1.1981670196958117e-05,0.0
0,31,0.23900000000003274,1.960080905215275e-05,0.00010973248797307106,0.17862357278332094
0,32,0.011999999999716238,0.0,2.20143376959918e-06,0.0
0,33,0.009000000000014552,0.0,1.6510753272410973e-06,0.0
0,35,0.010000000000218279,0.0,1.8345281414160745e-06,0.0
0,36,0.007999999999810825,0.0,1.46762251306612e-06,0.0
0,38,0.023000000000138243,0.0,4.2194147251902315e-06,0.0
0,39,0.02699999999958891,4.02063712621033e-06,1.6966147904901925e-05,0.23697996438240831
0,40,0.11999999999989086,1.5771186034857166e-06,5.5711382250885224e-05,0.028308732251220655
0,41,0.1000000000003638,0.0,5.9250856099140516e-05,0.0
1,0,28.250999999999806,0.012109061549455647,0.00468680973830313,2.5836469209521957
1,1,0.6019999999999186,0.00029238678984981007,0.00010120631824571635,2.889017157406431
1,2,0.1289999999999054,6.196092021645177e-05,2.6620875298886847e-05,2.327531289665846
1,3,0.5550000000000637,0.00019633258437757055,9.93825476775459e-05,1.9755237611193697
1,4,0.1529999999996221,6.31727378777768e-05,2.6835837363420248e-05,2.354043848987069
1,5,0.6840000000006512,0.00025621205493629506,0.00011805894064578074,2.170204590476746
1,6,0.10700000000019827,3.9098964815424504e-05,1.918916435881504e-05,2.037554324113305
1,7,0.6080000000010273,0.00026637241634546924,0.00013161692672575937,2.0238461949540127
1,8,0.7909999999990873,0.000351953184021202,0.00018418250266089218,1.9108937001969237
1,9,0.7090000000014811,0.00034475272965909197,0.00015214516386485578,2.265946027474928
1,10,0.8689999999979534,0.0004129934999025835,0.00018226034706037632,2.26595365675329
1,11,0.9740000000001032,0.00042511380867080525,0.0002516102034969282,1.6895730092122248
1,12,1.2080000000000553,0.0005024191606424684,0.0003329020549412882,1.5092101511090907
1,13,1.3449999999995441,0.0005957460318608477,0.0003556321003414136,1.6751750792150657
1,14,1.6789999999998884,0.0007938012532779501,0.0005356542126932538,1.481928517441766
1,15,0.8650000000009186,0.0003671926273921986,0.0003096242267429232,1.1859298972010794
1,16,0.9499999999997613,0.00037917344415467946,0.0003445769721224352,1.1004027396814882
1,17,0.838999999999487,0.00035431909846190505,0.0003470138920531716,1.0210516252404505
1,18,1.4200000000009254,0.0006312941498077955,0.000673571888417489,0.9372335168128496
1,19,0.41000000000008185,0.00017066219678868496,0.00015549026670313965,1.0975747897745354
1,20,1.0219999999992524,0.0004614878457581111,0.0004974404668432915,0.927724776166016
1,21,0.48000000000064347,0.00019909776348427265,0.0002478381326230108,0.8033378938789956
1,22,0.9129999999995562,0.00039840645179670776,0.000554697291306393,0.7182412065838694
1,23,0.5800000000006094,0.00023099649828321544,0.000294479762198985,0.7844223200884247
1,24,0.2789999999995416,0.00010392771351467913,0.00018989127410229333,0.5473011543368437
1,25,0.33100000000013097,0.0001411544702469807,0.00023671450419913,0.5963068073270159
1,26,0.3489999999997053,0.00014494031327700861,0.00026745072105214526,0.5419327818852632
1,27,0.1710000000002765,8.48102636156803e-05,0.0001351240047813907,0.6276476467145118
1,29,0.18800000000010186,8.283648824610723e-05,0.00021012253677649365,0.39422943163026825
1,30,0.009000000000014552,4.182306101506763e-06,1.6180538206962756e-05,0.258477564096542
1,31,0.20400000000017826,7.92562073900242e-05,0.00021351101816708578,0.37120429695108864
1,32,0.01900000000023283,7.275884900498201e-06,2.7830525716234884e-05,0.2614354099769602
1,34,0.02999999999974534,1.035618653741209e-05,3.294812541882159e-05,0.314317928737036
1,35,0.009000000000014552,3.1068559612550235e-06,8.915806767101924e-06,0.34846604938981923
1,36,0.018000000000029104,6.213711922510047e-06,1.783161353420385e-05,0.34846604938981923
1,37,0.023999999999887223,8.28494922996107e-06,2.3775484712121638e-05,0.3484660493898192
1,38,0.01900000000023283,6.558918140497042e-06,1.7412190041701348e-05,0.3766854212358556
1,39,0.010999999999967258,3.797268397072031e-06,9.512208268714454e-06,0.3991994592424142
2,0,15.87900000000053,0.010973046271887766,0.0024504766478732906,4.47792321604493
2,1,0.25199999999998113,0.00017182738126496588,5.6628646321653316e-05,3.0342837490583556
2,2,0.06899999999950523,4.656831879498927e-05,1.3802255924387105e-05,3.3739643033794247
2,3,0.27899999999931424,0.00019262506958927657,5.961082795946663e-05,3.231377187383728
2,4,0.13300000000026557,9.109992090480642e-05,2.9126446378836565e-05,3.127738953111703
2,5,0.13400000000081036,9.251526639850393e-05,2.5560654576818065e-05,3.6194404224064574
2,6,0.1069999999994593,7.349440379138567e-05,1.920473266810149e-05,3.8268902286496167
2,7,0.17900000000057048,0.0001235838260095883,3.829192603938182e-05,3.227412115088882
2,8,0.5859999999997854,0.0004060632422958455,0.00013771435851683695,2.9485904496022486
2,9,0.46900000000047726,0.0003225766614963542,0.00010773632843262646,2.994130820952186
