speed_bin_mph,total_time_s,distance_miles,fuel_gal,mpg
0,765.1899999999985,0.0044002808687882665,0.12786752949439484,0.034412808992146486
1,47.8040000000006,0.020590709299318156,0.012036060384433302,1.710751578311198
2,27.523000000000167,0.01902350251178799,0.00778977816250931,2.4421109452570056
3,51.70300000000233,0.04972902223030931,0.014055806129131538,3.5379701294572357
4,41.07799999999682,0.0528787773867392,0.01320022097281613,4.005900923600831
5,29.287000000004127,0.04533552430590425,0.009791880291344705,4.629909982251058
6,39.696999999999434,0.07190798580410128,0.014508602534760473,4.9562310106587
7,28.637000000000967,0.05939557092791719,0.010239542850786987,5.8006076827299164
8,44.04699999999826,0.10278556037533257,0.01725238440699128,5.957759689940609
9,40.319000000000784,0.10754700089069481,0.017550888417917868,6.127724040504928
10,25.44999999999814,0.0745583814819961,0.012202839146120782,6.1099208626131745
11,41.30899999999997,0.13227114552599858,0.02117322615430922,6.2470945410970575
12,27.004999999997295,0.09332786392908678,0.014561062642519428,6.409412981753283
13,46.554000000005686,0.17345520446389884,0.025843966382331187,6.711632490842637
14,58.183999999996075,0.23621808336646863,0.03229455117550761,7.314487266991897
15,39.43100000000115,0.17009859357749982,0.021694217031958247,7.840734391424392
16,60.45799999999667,0.2766768154113448,0.03512856352960975,7.876120957184452
17,41.08199999999863,0.19878465663233935,0.022695178226048822,8.758893834293863
18,66.55800000000306,0.33922018627056444,0.03848406008724962,8.814563367313562
19,64.3710000000041,0.35005164586721643,0.03766597911938013,9.293576167441396
20,36.44299999999947,0.207566736558442,0.02140725601967743,9.696092594382382
21,55.64199999999863,0.33130991644840757,0.037180006139331444,8.910969923104082
22,69.7359999999976,0.43880650685275735,0.04557377386135899,9.628487388111868
23,36.656000000003814,0.24018184486340036,0.02590049857198565,9.273251794588404
24,80.4379999999972,0.5484946406510756,0.04989119735500091,10.993815938075427
25,50.71500000000293,0.3590785262537533,0.032577860831950446,11.022164042814937
26,131.9730000000007,0.9676941863842208,0.07517592195297834,12.872395326119207
27,137.23899999999793,1.0515535199523267,0.0746909776088759,14.07872213775075
28,53.11799999999897,0.42153383893520757,0.03383643893766426,12.45798471026414
29,104.11700000000224,0.8538570957265444,0.06217902304930675,13.73223723778118
30,54.57000000000005,0.46167807382065673,0.034658502910068764,13.32077369350345
31,145.63200000000222,1.2693934238821136,0.08699802962860766,14.591059467681296
32,118.96499999999645,1.077925582821188,0.07339857853742791,14.685919050483037
33,82.00199999999916,0.7642756254098259,0.048190186187858315,15.859569880690517
34,178.82900000000143,1.711639273564171,0.09944268377052351,17.212319787285647
35,80.09799999999404,0.7883120981723575,0.04870882840881987,16.18417284759851
36,155.7700000000017,1.5746479284397326,0.09316846422197288,16.901082802955198
37,169.47100000000228,1.7673959260594794,0.09126644998202413,19.365231433978053
38,82.07000000000403,0.8781687277660762,0.044802498926833044,19.60088720051561
39,172.29499999999598,1.8898574818909388,0.09489757981459467,19.914706840608915
40,76.10800000000177,0.8541204330950798,0.04603468379494628,18.55384598490162
41,135.79499999999643,1.5604305629857298,0.081612708755059,19.119945738708275
42,167.93699999999728,1.985367608572502,0.099074952379959,20.03904681133215
43,86.21500000000674,1.0416222898025358,0.05406993635741861,19.264352059101714
44,150.69199999999807,1.8602229181529855,0.09078647866430951,20.490087791942155
45,229.13799999999628,2.911074984842242,0.134346045620531,21.668482845150198
46,163.9140000000109,2.121465527114713,0.09518293750898424,22.288296438786308
47,224.1479999999924,2.957311557115222,0.13189242181944816,22.422149175208737
48,75.89400000000273,1.0217194667865026,0.04849042607248057,21.07054009505501
49,82.35399999999947,1.1289583322223466,0.05339147512278517,21.144917416611253
50,21.855999999999767,0.3072260839249489,0.02190234072941167,14.027089055024552
51,12.50899999999956,0.17917650605744306,0.013724445725727364,13.055281767886996
52,18.350999999999658,0.2675454588223662,0.018809094607702664,14.224260359283933
53,20.249000000000024,0.3006252361677912,0.01698522333189387,17.699221864412845
54,43.20900000000006,0.6531924909673572,0.031494724906889184,20.7397426997204
55,34.07699999999954,0.5262551451518536,0.027378201665636214,19.221684155113206
56,16.455000000000155,0.2584128702136388,0.01746370508396515,14.797138921620286
