gear,speed_bin_mph,tcc_state,total_time_s,distance_miles,fuel_gal,mpg
1.0,0,OPEN,765.1899999999985,0.0044002808687882665,0.12786752949439484,0.034412808992146486
1.0,1,OPEN,47.8040000000006,0.020590709299318156,0.012036060384433302,1.710751578311198
1.0,2,OPEN,27.471000000000487,0.01898491190868838,0.0077821465254412315,2.439546961320158
1.0,3,OPEN,48.599000000002064,0.04652464091871495,0.013647646816527558,3.4089862922282492
1.0,3,PARTIAL,2.826000000000022,0.002941982298221132,0.00037051993182169287,7.940145847907898
1.0,4,LOCKED,6.847999999999274,0.009313757673322412,0.0009194367611564697,10.129851303321336
1.0,4,OPEN,21.66999999999703,0.027719022774284018,0.010536700566643424,2.63071182472771
1.0,4,PARTIAL,11.850000000000932,0.014884213944156417,0.0016404421110894772,9.073294231803931
1.0,5,LOCKED,10.831000000000586,0.016794587643746157,0.001465108755530893,11.463031382718421
1.0,5,OPEN,12.62900000000144,0.019516854689542257,0.007458083500566834,2.616872644032334
1.0,5,PARTIAL,4.7240000000018085,0.0073134199037486955,0.0007243119751719055,10.097057834799646
1.0,6,LOCKED,13.167999999998187,0.023880625529187308,0.0017257829216318964,13.837560465951212
1.0,6,OPEN,17.625999999999976,0.03189046070863375,0.011389439298964238,2.800002692980144
1.0,6,PARTIAL,6.050000000000523,0.010965947951757047,0.001049258992580274,10.451135543561321
1.0,7,LOCKED,13.778000000001612,0.0285756372243698,0.0020093514018741255,14.22132395444483
1.0,7,OPEN,9.793999999999102,0.02030941293200144,0.0073821824609112295,2.7511393872394914
1.0,7,PARTIAL,3.494000000001023,0.007239661275708923,0.0006586348391193306,10.991919718958643
1.0,8,LOCKED,18.232999999998924,0.04249293318683818,0.002706798967652518,15.698592209709
1.0,8,OPEN,16.051999999999424,0.0375035953389746,0.012508468217614048,2.9982564360808914
1.0,8,PARTIAL,5.568999999999477,0.013004011291258076,0.0015213783758413096,8.547519471654752
1.0,9,LOCKED,15.634000000000867,0.04168689627589987,0.0022713035228844407,18.353732055572927
1.0,9,OPEN,15.272000000000986,0.040687636596211635,0.01311159440451105,3.1031799292245523
1.0,9,PARTIAL,3.873999999999171,0.010359464119608672,0.0014438269239424844,7.17500411428908
1.0,10,LOCKED,8.245999999999981,0.024102261133996817,0.0012659062596096428,19.039530732258985
1.0,10,OPEN,10.883999999998906,0.03188477863132806,0.009691095721105393,3.2901107933429015
1.0,10,PARTIAL,1.6499999999994088,0.004832986987745296,0.0005497243083483482,8.791655952537464
1.0,11,LOCKED,2.862999999999147,0.009037708784146638,0.00047487140954623983,19.03190759111516
1.0,11,OPEN,16.81200000000095,0.053696999079523584,0.015730326579637764,3.4135972198461575
1.0,11,PARTIAL,4.0470000000003665,0.012984931247555339,0.001663539508864256,7.805604362484007
1.0,12,LOCKED,0.8509999999992885,0.0029312882768483175,0.00021504978014275057,13.630742960548583
1.0,12,OPEN,9.745999999997139,0.033674869039264324,0.009975905362792416,3.375620338667506
1.0,12,PARTIAL,3.1270000000003506,0.01080744858222953,0.0014601785752923692,7.4014567567981
