gear,speed_bin_mph,total_time_s,distance_miles,fuel_gal,mpg
1.0,0,765.1899999999985,0.0044002808687882665,0.12786752949439484,0.034412808992146486
1.0,1,47.8040000000006,0.020590709299318156,0.012036060384433302,1.710751578311198
1.0,2,27.471000000000487,0.01898491190868838,0.0077821465254412315,2.439546961320158
1.0,3,51.425000000002086,0.04946662321693608,0.014018166748349251,3.528751234376718
1.0,4,40.36799999999724,0.051916994391762845,0.013096579438889372,3.964164431943121
1.0,5,28.184000000003834,0.04362486223703711,0.009647504231269633,4.521880601579792
1.0,6,36.84399999999869,0.0667370341895781,0.014164481213176408,4.711576314386753
1.0,7,27.066000000001736,0.056124711432080164,0.010050168701904685,5.5844546590987605
1.0,8,39.853999999997825,0.09300053981707085,0.016736645561107877,5.55670128028419
1.0,9,34.780000000001024,0.09273399699172018,0.016826724851337974,5.511113886452268
1.0,10,20.779999999998296,0.060820026753070175,0.011506726289063383,5.285606455319688
1.0,11,23.722000000000463,0.07571963911122556,0.017868737498048258,4.237548350547774
1.0,12,13.723999999996778,0.04741360589834217,0.011651133718227536,4.069441399008775
1.0,13,19.53300000000334,0.07257366816899638,0.018683791454658764,3.884311615504587
1.0,14,19.30999999999875,0.07823560263475378,0.020725141285193597,3.7749128731222044
1.0,15,10.30800000000113,0.04444163531119946,0.01211577611109011,3.6680799400477575
1.0,16,8.040999999998462,0.036610693632788925,0.011426851851337103,3.203917763973194
1.0,17,2.164000000000044,0.010438927998432684,0.0038391754052933087,2.719054717854227
1.0,18,1.1200000000008004,0.005728698400757858,0.0028256427967763044,2.027396529842189
1.0,19,0.6449999999999818,0.0035036980526578195,0.0018723504798915074,1.8712832294415518
1.0,20,0.34400000000005093,0.0019591337150103244,0.001298616091413484,1.5086319413136928
1.0,21,0.5479999999997744,0.00326778951582479,0.002037168804071968,1.6040838193148315
1.0,22,0.46299999999973807,0.0028936131651291215,0.0017815590218188914,1.6242028075920119
1.0,23,0.397000000000844,0.002598002055583644,0.0016197855720972616,1.6039172717286336
1.0,24,0.31199999999989814,0.0021271962213320166,0.0014264182718580825,1.4912850342004424
1.0,25,0.387000000000171,0.0027402057783135554,0.001857749353374326,1.4750137166439479
1.0,26,0.294999999999618,0.002174663383920446,0.0013993076802619245,1.5540995126342687
1.0,27,0.44699999999966167,0.003424273062161307,0.002118971092650117,1.6160074453298456
1.0,28,0.3380000000001928,0.0026791418623058143,0.0016078726731018128,1.6662649394602698
1.0,29,0.3619999999996253,0.002961800329185754,0.0017820305082780043,1.6620368256477125
1.0,30,0.18000000000074579,0.0015261878283947168,0.0008824916299980762,1.7294077093944153
1.0,31,0.28799999999955617,0.0025217297886527133,0.0015918556221450688,1.584144788994503
1.0,32,0.14100000000053114,0.0012797222724957552,0.0007834492715218836,1.6334462472724496
1.0,33,0.08099999999967622,0.0007549534970996234,0.0004500809759350043,1.6773726006331924
1.0,34,0.12800000000015643,0.0012318413136148086,0.0007068708438895488,1.742668161041437
1.0,35,0.17099999999982174,0.0016864216843740204,0.0007109689063751737,2.3720048362904165
1.0,36,1.4109999999996035,0.01416781438294312,0.006479639624409209,2.1865127081407545
1.0,37,0.4800000000000182,0.005003670555831931,0.0025651421419999004,1.9506406580380937
1.0,38,0.15700000000060754,0.001680616546666702,0.0009738081816042519,1.7258188813920763
1.0,39,0.26199999999971624,0.0028744781219228167,0.0017361732172250044,1.6556401708103818
1.0,40,0.10500000000001819,0.0011835343050575606,0.000655354459152801,1.8059452995674365
1.0,41,0.23200000000042564,0.002674539356517428,0.0014415563723931526,1.8553137482076951
1.0,42,0.10300000000006548,0.0012116553704429305,0.0006612675390360119,1.8323224699782898
1.0,43,0.08799999999973807,0.0010636820872328783,0.0006050429039544632,1.758027538676717
1.0,44,0.021000000000185537,0.00025710733975668336,0.00014460033045550404,1.7780549943888242
