gear_int,speed_bin_mph_center,n_samples,mean_phys_torque,mean_ecm_torque,mean_error_nm,ratio_phys_over_ecm
1,4.5,295,12.895332575235777,23.221305998951525,-10.325973423715748,0.5553233128153093
1,5.5,461,12.56457354616791,22.837010651285034,-10.272437105117124,0.5501846865172305
1,6.5,553,11.892698419542066,20.547398497903977,-8.65470007836191,0.5787933893799369
1,7.5,551,12.764944098417502,22.241528200010347,-9.476584101592845,0.5739238771556877
1,8.5,769,11.833916743324657,18.91851563730299,-7.084598893978331,0.625520361649879
1,9.5,600,11.342154854122578,18.3582024220715,-7.016047567948922,0.6178249151717738
1,10.5,296,13.587231708652421,12.751163712457771,0.8360679961946502,1.0655679759940513
1,11.5,99,13.219148410475999,12.630068182147475,0.5890802283285232,1.0466410964559307
1,12.5,38,13.742812485166954,35.408475389318426,-21.66566290415147,0.38812211861888607
1,13.5,22,13.808758011689887,38.525303244681815,-24.716545232991926,0.35843346706417173
1,36.5,51,18.510191524072276,221.40483798787253,-202.89464646380026,0.08360337421843589
2,4.5,5,22.489842510985127,29.486742032299997,-6.9968995213148695,0.7627103220270854
2,5.5,20,22.53642091055074,27.123622004795,-4.587201094244261,0.8308780039246484
2,6.5,74,19.572894602484638,26.278027023552703,-6.705132421068065,0.7448388185666173
2,7.5,36,15.542620291035057,23.568601984252776,-8.02598169321772,0.6594629711774914
2,8.5,165,22.811607091533695,15.388780473631515,7.42282661790218,1.482353142318269
2,9.5,145,21.227130279471638,9.739514231628966,11.487616047842671,2.1794855240866906
2,10.5,141,23.10632132879907,7.595594484311347,15.510726844487722,3.042068843528315
2,11.5,328,21.13857097741422,13.181176848387196,7.957394129027023,1.6036937536423892
2,12.5,81,21.51868581982093,21.334536899944442,0.1841489198764883,1.008631493654637
2,13.5,77,19.638301246511148,32.02106629947403,-12.382765052962881,0.6132931696541823
2,14.5,147,26.638764874091965,27.51316123597279,-0.8743963618808266,0.9682189787505198
2,15.5,41,24.02692969674031,38.116450075643904,-14.089520378903593,0.6303559132358267
2,16.5,65,21.97160757417784,30.692686659373848,-8.72107908519601,0.7158580745314941
2,17.5,152,24.462574727995392,30.818886062778944,-6.356311334783552,0.7937527228649482
2,18.5,274,26.55909151692624,24.77137090178978,1.787720615136461,1.0721688202975999
2,19.5,78,23.975131810389474,22.611114824378205,1.3640169860112685,1.0603250656416396
2,21.5,2,25.48181970681025,71.1539836979,-45.672163991089754,0.358122179286531
2,32.5,1,29.72319397337844,185.9537208686,-156.23052689522154,0.1598418888019007
2,57.5,3,45.50505170954168,327.6474484859,-282.1423967763583,0.13888419372659924
2,67.5,27,54.66912349920628,53.295877435096294,1.3732460641099848,1.0257664594373612
3,13.5,22,36.4215185420128,10.586911323454546,25.834607218558254,3.44024025792334
3,14.5,36,36.719296979967886,23.080153655597222,13.639143324370664,1.5909468163814846
3,15.5,56,37.07549726050528,14.817406855510713,22.25809040499457,2.5021582805979716
3,16.5,257,30.211462324285097,8.903343651359922,21.308118672925175,3.3932715064492105
3,17.5,97,36.257775251566855,8.195486549480412,28.06228870208644,4.4241150336419715
3,18.5,177,36.07915550025697,16.711264027821468,19.3678914724355,2.158972262073724
3,19.5,112,36.48383777580657,16.112657078275,20.37118069753157,2.26429679466079
3,20.5,248,39.03724123889113,29.11672849925766,9.920512739633466,1.340715226296333
3,21.5,119,39.349927937588625,38.22461567901597,1.1253122585726558,1.0294394656056782
3,22.5,181,36.82548370333297,28.495951430002208,8.329532273330763,1.2923058138203078
3,23.5,11,40.538144498223545,89.0317423808,-48.49359788257645,0.45532237620192567
3,24.5,28,41.18576764504402,21.534772098964286,19.65099554607973,1.9125239615154712
3,25.5,8,41.54015596993627,67.11508635455,-25.57493038461373,0.6189391718948463
3,26.5,30,36.96326381033999,24.397877662163335,12.565386148176653,1.5150196390919395
3,27.5,14,-5.62967149632721,16.523436139785712,-22.15310763611292,-0.3407082793615723
3,28.5,2,-264.5108898607273,5.217004113450001,-269.7278939741773,-50.70168320910263
3,29.5,6,-167.44436840105934,9.167999379583334,-176.61236778064267,-18.264003024907417
3,30.5,5,44.584241453640715,13.78116788662,30.803073567020714,3.2351569780183227
3,31.5,38,43.70247724854527,39.369992502368426,4.332484746176846,1.1100453536006187
3,32.5,16,9.67035440854417,30.084917121825,-20.41456271328083,0.3214353015959896
3,37.5,93,58.01261369396455,44.49900994314839,13.513603750816166,1.303683245269525
3,38.5,6,-54.023427927058805,88.94405499483334,-142.96748292189216,-0.6073866086968597
3,39.5,1,-448.46132695117706,12.722044767,-461.18337171817706,-35.25072699904744
3,40.5,1,-538.3162826381464,34.8629464286,-573.1792290667464,-15.440929060331397
3,41.5,4,52.84977912125784,69.31143973215,-16.461660610892167,0.7624972057353405
3,42.5,15,54.44623284158043,-0.7330614697866668,55.1792943113671,-74.27239745314291
3,43.5,16,55.149754820013555,2.5343766516125,52.61537816840106,21.76067822631039
3,44.5,29,55.74588822729985,21.8394049024931,33.90648332480675,2.5525369613407425
3,45.5,53,53.117013817536325,70.2654916773717,-17.148477859835374,0.755947372594023
3,46.5,1,294.0541772505443,36.1390975051,257.9150797454443,8.1367327230307
3,48.5,15,60.15558428210929,170.87507412504002,-110.71948984293073,0.35204423225642417
3,49.5,3,60.8193640333773,49.49711052183333,11.32225351154397,1.228745746815861
3,55.5,40,68.58442445223804,32.9240087529,35.66041569933804,2.083112811898916
3,56.5,40,59.39424403653838,101.417111825225,-42.022867788686625,0.5856432210265874
3,57.5,10,34.74669421647194,212.35580080926002,-177.60910659278807,0.16362488843750375
3,65.5,6,81.93770707670839,-18.622681973733332,100.56038905044173,-4.3998875775400546
3,66.5,29,82.83824903225126,4.774751730344828,78.06349730190642,17.34922645418231
3,67.5,41,84.01576976862086,44.99828465055366,39.0174851180672,1.867088277276968
3,68.5,20,85.82420246101074,215.66654718023,-129.84234471921926,0.39794860901300777
3,74.5,3,95.31477161896925,126.30489864866666,-30.99012702969742,0.7546403396759738
3,75.5,4,96.33369467664883,189.5373700116,-93.20367533495116,0.5082569979247525
4,22.5,29,53.48841324901572,30.386056069365516,23.102357179650205,1.7602946932932648
4,23.5,94,53.91010188479035,19.725028196647873,34.18507368814248,2.7330811062643745
4,24.5,275,51.791478087173815,20.482943506329093,31.30853458084472,2.5285173525558275
4,25.5,104,66.11182640148655,22.150855889764422,43.96097051172213,2.984617241450965
4,26.5,345,49.64945559250226,27.592988942386373,22.056466650115883,1.799350396441986
4,27.5,339,57.60397028246949,22.457021221278172,35.14694906119132,2.565076183295822
4,28.5,318,57.58771402089141,24.39666839241038,33.191045628481035,2.3604745162174074
4,29.5,392,62.176796202926965,26.972607401066327,35.20418880186064,2.305183005795312
4,30.5,225,54.18638986833845,26.10306900656489,28.08332086177356,2.0758627981526097
4,31.5,286,59.66590405580392,29.462161397898598,30.203742657905323,2.025170633274028
4,32.5,372,59.55117673505881,25.371889412290056,34.17928732276876,2.347132125927225
4,33.5,260,59.37026560154225,30.959714930961923,28.410550670580328,1.9176618949474806
