gear_int,rpm_bin,n_samples,mean_phys_torque,mean_ecm_torque,mean_error_nm,ratio_phys_over_ecm
1,550.0,6,13.255190888695987,17.518717447916668,-4.263526559220681,0.7566302115496645
1,650.0,1460,11.544566942041358,19.519647434399317,-7.975080492357959,0.5914331691102402
1,750.0,1227,12.116572382880864,16.522198844986473,-4.405626462105609,0.7333510809644771
1,850.0,458,13.750349989991616,20.059847309291268,-6.309497319299652,0.6854663337154498
1,950.0,194,13.391586644107617,24.68069600942062,-11.289109365313001,0.5425935572884999
1,1050.0,154,13.381898070488406,28.61506247486883,-15.233164404380423,0.4676522402228216
1,1150.0,67,13.485344057109065,31.55916150755821,-18.07381745044914,0.4273036231928854
1,1250.0,50,13.51850118936694,30.031800773688,-16.51329958432106,0.45013954678372176
1,1350.0,34,13.61820666246987,43.83148892652647,-30.2132822640566,0.3106945941375092
1,1450.0,18,13.78311252915319,39.69860024243889,-25.915487713285703,0.34719391729128685
1,1550.0,10,13.756001590471538,42.42696183433,-28.670960243858463,0.3242278257912118
1,1650.0,6,13.742812485166953,45.51855811403333,-31.77574562886638,0.30191669188506337
1,1950.0,3,18.510191524072276,140.20409903346666,-121.69390750939439,0.13202318371343694
1,2550.0,2,18.510191524072276,174.2918025111,-155.78161098702773,0.10620230703560157
1,2650.0,3,18.510191524072276,178.9045880734333,-160.39439654936103,0.10346404037706719
1,2750.0,2,18.510191524072276,183.20464241119998,-164.69445088712772,0.10103560303087974
1,2850.0,2,18.510191524072276,188.36470761655,-169.85451609247772,0.09826783243150344
1,2950.0,2,18.510191524072276,193.11431308965,-174.60412156557774,0.09585095598522124
1,3050.0,2,18.510191524072276,197.33618462125,-178.82599309717773,0.09380029090761603
1,3150.0,2,18.510191524072276,202.6135240358,-184.10333251172773,0.09135713725013583
1,3250.0,2,18.510191524072276,206.6594842536,-188.14929272952773,0.08956855568921139
1,3350.0,3,18.510191524072276,212.1322806835,-193.62208915942773,0.08725777832789797
1,3450.0,2,18.510191524072276,218.3869051748,-199.87671365072774,0.08475870615619766
1,3550.0,2,18.510191524072276,223.0778735433,-204.56768201922773,0.08297636708680298
1,3650.0,2,18.510191524072276,228.41385006245,-209.90365853837773,0.08103795596900738
1,3750.0,2,18.510191524072276,232.57708448945,-214.06689296537772,0.07958734010577867
1,3850.0,2,18.510191524072276,237.15708950110002,-218.64689797702775,0.07805034023233963
1,3950.0,2,18.510191524072276,242.2822436952,-223.77205217112774,0.07639929052068206
1,4050.0,2,18.510191524072276,247.0413154468,-228.53112392272774,0.07492751360473718
1,4150.0,2,18.510191524072276,252.47153834295,-233.96134681887773,0.07331595333699979
1,4250.0,3,18.510191524072276,258.06446454676666,-239.5542730226944,0.07172700649266588
1,4350.0,3,18.510191524072276,265.7521958379,-247.24200431382772,0.06965207367604548
1,4450.0,5,18.510191524072276,277.5237801535,-259.0135886294277,0.06669767727231944
1,4550.0,1,18.510191524072276,284.8698344984,-266.3596429743277,0.06497771712706998
2,650.0,355,20.690258767257774,18.35172242036338,2.3385363468943936,1.127428711775823
2,750.0,257,22.781383355673796,8.522424630635799,14.258958725037997,2.673110569236473
2,850.0,211,20.49718516647186,5.939406667453081,14.557778499018777,3.4510492906291264
2,950.0,196,22.505080356865168,20.48006753855153,2.0250128183136376,1.0988772529437107
2,1050.0,51,23.8247138997751,36.73913358297059,-12.914419683195486,0.6484832813482131
2,1150.0,172,23.885666522615566,31.629482311664535,-7.74381578904897,0.755170960032022
2,1250.0,74,26.27465055697335,28.479593559024327,-2.204943002050978,0.9225781436283069
2,1350.0,389,25.332923335120633,27.582007645546785,-2.249084310426152,0.9184582812343149
2,1450.0,98,23.95184335482936,28.448717511741837,-4.496874156912476,0.8419305139130981
2,1550.0,28,24.999204860856086,38.9722495713,-13.973044710443911,0.6414616845537713
2,2450.0,1,29.72319397337844,185.9537208686,-156.23052689522154,0.1598418888019007
2,4150.0,3,45.50505170954168,327.6474484859,-282.1423967763583,0.13888419372659924
2,4350.0,5,54.867310022880744,16.0620817812,38.805228241680744,3.415952600060887
2,4450.0,6,54.86731002288074,15.4271904031,39.44011961978074,3.556532887015868
2,4550.0,7,54.867310022880744,15.246101089042856,39.62120893383789,3.598776480782556
2,4750.0,4,54.272750451857355,109.52754945375,-55.25479900189264,0.495516887965936
2,4850.0,5,54.27275045185736,144.25644679694,-89.98369634508263,0.3762240902013442
3,650.0,37,36.5982020253263,10.152171805516216,26.446030219810083,3.6049628322326606
