gear_int,speed_bin_mph_center,n_samples,mean_phys_torque,mean_ecm_torque,mean_error_nm,ratio_phys_over_ecm
1,4.5,77,0.0,19.091746573725974,-19.091746573725974,0.0
1,5.5,261,0.0,22.765700830737934,-22.765700830737934,0.0
1,6.5,153,0.21556867303778432,18.23045750636732,-18.014888833329536,0.011824644168282284
1,7.5,356,0.0,24.114083294146067,-24.114083294146067,0.0
1,8.5,346,-0.5728588935565356,22.11810704066214,-22.690965934218674,-0.025899996437461235
1,9.5,114,0.0,39.72311667287456,-39.72311667287456,0.0
1,10.5,152,1.6274016651775358,13.181420779105263,-11.554019113927728,0.12346177945834468
1,12.5,33,0.0,39.75008099083333,-39.75008099083333,0.0
1,13.5,22,0.0,38.525303244681815,-38.525303244681815,0.0
1,36.5,51,0.0,221.40483798787253,-221.40483798787253,0.0
2,9.5,38,0.0,6.17076719655,-6.17076719655,0.0
2,10.5,31,0.0,5.3136825372129035,-5.3136825372129035,0.0
2,11.5,137,-0.2796142166234066,23.167598451078103,-23.44721266770151,-0.012069192981476021
2,12.5,48,0.0,33.53969667394375,-33.53969667394375,0.0
2,13.5,44,0.0,53.44431084316818,-53.44431084316818,0.0
2,14.5,144,2.826465528207223,28.052825309340975,-25.226359781133752,0.10075511101072847
2,15.5,41,0.0,38.116450075643904,-38.116450075643904,0.0
2,16.5,65,-2.3111401305348602,30.692686659373848,-33.00382678990871,-0.07529937526107755
2,17.5,152,0.0,30.818886062778944,-30.818886062778944,0.0
2,18.5,274,1.90308859892195,24.77137090178978,-22.86828230286783,0.07682613152364724
2,19.5,70,0.08584233640594334,24.54318507739,-24.457342740984057,0.0034976037598732105
2,21.5,2,0.0,71.1539836979,-71.1539836979,0.0
2,32.5,1,0.0,185.9537208686,-185.9537208686,0.0
2,57.5,3,0.0,327.6474484859,-327.6474484859,0.0
2,67.5,27,0.0,53.295877435096294,-53.295877435096294,0.0
3,14.5,22,0.0,32.926547850004546,-32.926547850004546,0.0
3,15.5,14,0.0,32.84052875015714,-32.84052875015714,0.0
3,16.5,47,0.0,20.695979143593615,-20.695979143593615,0.0
3,17.5,6,20.105792445488515,36.3194350702,-16.213642624711486,0.5535821910948516
3,18.5,81,-3.0650163455547434,29.930923523141974,-32.995939868696716,-0.10240299946591812
3,19.5,79,0.0,19.669089725406327,-19.669089725406327,0.0
3,20.5,248,0.0,29.11672849925766,-29.11672849925766,0.0
3,21.5,119,0.0,38.22461567901597,-38.22461567901597,0.0
3,22.5,181,-3.265802733995444,28.495951430002208,-31.76175416399765,-0.11460584995793527
3,23.5,11,0.0,89.0317423808,-89.0317423808,0.0
3,24.5,28,0.0,21.534772098964286,-21.534772098964286,0.0
3,25.5,8,0.0,67.11508635455,-67.11508635455,0.0
3,26.5,29,-23.980133673160406,24.7640217271,-48.74415540026041,-0.9683456886535613
3,27.5,5,0.0,28.51205564772,-28.51205564772,0.0
3,31.5,28,-2.0697139165221268,46.43404087345714,-48.50375478997927,-0.044573202710540466
3,32.5,1,0.0,77.8655522283,-77.8655522283,0.0
3,37.5,93,8.077924915413293,44.49900994314839,-36.421085027735096,0.18153044136787744
3,38.5,6,-104.69992806257737,88.94405499483334,-193.6439830574107,-1.1771436333621093
3,43.5,1,0.0,41.8638966182,-41.8638966182,0.0
3,44.5,18,0.0,28.605696737738885,-28.605696737738885,0.0
3,45.5,53,-4.3737350844292004,70.2654916773717,-74.6392267618009,-0.06224584757068907
3,46.5,1,236.44411813155938,36.1390975051,200.3050206264594,6.542612695244868
3,48.5,15,0.0,170.87507412504002,-170.87507412504002,0.0
3,49.5,3,0.0,49.49711052183333,-49.49711052183333,0.0
3,55.5,19,0.0,70.17953911755264,-70.17953911755264,0.0
3,56.5,39,-3.6376018294402526,104.06749528860256,-107.70509711804281,-0.03495425559491333
3,57.5,10,-35.466617672165356,212.35580080926002,-247.82241848142536,-0.1670150640434909
3,65.5,6,0.0,-18.622681973733332,18.622681973733332,-0.0
3,66.5,29,0.0,4.774751730344828,-4.774751730344828,0.0
3,67.5,41,0.0,44.99828465055366,-44.99828465055366,0.0
3,68.5,20,-1.247713043994736e-11,215.66654718023,-215.66654718024247,-5.785380534478705e-14
3,74.5,3,0.0,126.30489864866666,-126.30489864866666,0.0
3,75.5,4,0.0,189.5373700116,-189.5373700116,0.0
4,22.5,28,0.0,31.213547968460716,-31.213547968460716,0.0
4,23.5,83,0.0,20.948129095079516,-20.948129095079516,0.0
4,24.5,256,-3.004451610757551,20.975677997385155,-23.980129608142708,-0.143235017773065
4,25.5,99,11.417495932143506,23.0557396753303,-11.638243743186795,0.49521273630445506
4,26.5,333,-5.974277162015407,28.18658166382162,-34.160858825837025,-0.21195465392965984
4,27.5,339,0.5275019254830325,22.457021221278172,-21.92951929579514,0.023489398717903915
4,28.5,318,-0.10071092937747701,24.39666839241038,-24.497379321787857,-0.004128060756394403
4,29.5,388,3.6385611320125477,27.16343356970335,-23.524872437690803,0.13395070702957101
4,30.5,225,-5.10406159972428,26.10306900656489,-31.20713060628917,-0.19553492343910267
4,31.5,260,0.0,31.352398841603847,-31.352398841603847,0.0
4,32.5,326,-1.568730400539445,26.02352238201902,-27.592252782558464,-0.06028124776926281
4,33.5,260,-2.815949712091487,30.959714930961923,-33.77566464305341,-0.09095528554997567
4,34.5,631,-3.5248578378418065,29.579204970347387,-33.10406280818919,-0.1191667538520867
4,36.5,36,7.390632936338347,16.50386045024722,-9.113227513908873,0.4478123744816104
4,37.5,82,8.297472375839192,26.96360911254512,-18.66613673670593,0.30772855151570566
4,38.5,55,-11.667452213753975,37.311526531618185,-48.97897874537216,-0.31270369503287015
4,39.5,8,0.0,43.7267971067125,-43.7267971067125,0.0
4,40.5,35,-21.285474549020208,72.48234156893429,-93.7678161179545,-0.2936642786129732
4,41.5,22,35.73157243194139,24.35117209288636,11.380400339055026,1.4673450746290586
4,42.5,3,0.0,99.32995883923333,-99.32995883923333,0.0
4,44.5,5,0.0,303.54735157952,-303.54735157952,0.0
4,45.5,7,-41.5923066215422,29.38601478442857,-70.97832140597077,-1.4153775844277343
4,46.5,2,-75.40091030469023,27.60578746075,-103.00669776544024,-2.7313443027805486
4,47.5,57,22.98522204703585,19.966640224538594,3.018581822497257,1.151181259768856
4,48.5,52,0.0,21.422811444578844,-21.422811444578844,0.0
4,49.5,3,0.0,40.49825721156667,-40.49825721156667,0.0
4,55.5,27,0.0,20.082248571418518,-20.082248571418518,0.0
4,57.5,16,0.0,76.6608985325875,-76.6608985325875,0.0
4,58.5,2,0.0,69.5505901834,-69.5505901834,0.0
4,59.5,7,0.0,131.03979144224286,-131.03979144224286,0.0
4,65.5,4,0.0,-23.57231114735,23.57231114735,-0.0
4,67.5,27,-10.02456142322367,9.718231219459259,-19.74279264268293,-1.0315211890771885
4,68.5,48,-3.0666679881051664,67.77086035846875,-70.83752834657392,-0.045250539418922264
5,32.5,10,0.0,62.814561422320004,-62.814561422320004,0.0
5,33.5,23,0.0,30.47178002561739,-30.47178002561739,0.0
5,34.5,139,-8.246419174828398,34.10488524335756,-42.351304418185954,-0.24179583411542233
5,35.5,208,0.0,32.97971304877356,-32.97971304877356,0.0
5,36.5,716,-0.32163757206685484,28.310042478968995,-28.63168005103585,-0.011361253601289839
5,37.5,573,-7.303319876227745,28.47128434256806,-35.77460421879581,-0.2565152940890828
5,38.5,158,2.387201157057739,27.40898773233861,-25.02178657528087,0.08709556078355968
5,39.5,655,-0.6763499900269611,26.95212706088412,-27.62847705091108,-0.025094493970702382
5,40.5,281,-9.00141163158548,28.14355483259466,-37.14496646418014,-0.3198391846775671
5,41.5,690,0.6161672262408286,32.93441573198363,-32.3182485057428,0.0187089162672605
5,42.5,1180,-1.4233279987090526,40.6181745128839,-42.04150251159295,-0.03504165354003242
5,43.5,637,-2.417347919829912,84.85414950843061,-87.27149742826052,-0.02848826997658775
5,44.5,2372,1.1866034013277673,112.91909010762748,-111.73248670629971,0.010508439274499737
5,45.5,4666,-0.20043565510780847,114.50525610411776,-114.70569175922557,-0.0017504493848348377
5,46.5,2883,1.4705162502726945,118.89860858385661,-117.42809233358392,0.012367817149311476
5,47.5,6030,-0.010253620931059634,117.07807441628185,-117.0883280372129,-8.757934380268284e-05
5,48.5,1814,0.35733866750088844,125.04829900894008,-124.6909603414392,0.002857605184020466
5,49.5,682,-2.3827692162646787,134.03983587532932,-136.422605091594,-0.017776575155470174
5,50.5,89,-9.708604502057815,109.54065943474718,-119.249263936805,-0.08863014475315607
5,51.5,25,45.91678159096783,24.642100013956,21.27468157701183,1.8633469373536735
5,52.5,20,-52.04070356215421,38.473439508345,-90.51414307049922,-1.3526397490628939
5,55.5,42,0.0,33.3982865247381,-33.3982865247381,0.0
5,56.5,31,0.0,50.72226060713548,-50.72226060713548,0.0
5,57.5,47,0.0,10.34361764956383,-10.34361764956383,0.0
5,58.5,2,0.0,1.3856798537500001,-1.3856798537500001,0.0
5,59.5,38,10.0694696716529,11.879632434563158,-1.8101627629102577,0.8476246825917201
5,65.5,3,305.6672704961126,16.7383018092,288.92896868691264,18.261546122206163
5,66.5,19,-49.22851839206286,18.13392368492105,-67.36244207698391,-2.714719618733037
5,67.5,28,25.81300555471113,19.369762383417857,6.443243171293272,1.3326444095570955
5,68.5,10,-46.767092472497104,16.91317636134,-63.680268833837104,-2.7651277012280757
6,41.5,64,0.0,24.819928655959377,-24.819928655959377,0.0
