gear,rpm_center,pedal_center,n_samples,eng_torque_mean,eng_torque_p50,eng_torque_p75,axle_torque_mean,cyl_airmass_mean,cyl_airmass_p50,airflow_mass_mean,map_kpa_mean,ve_mgk_kpa_mean,ve_airflow_mean,spark_mean,spark_p50,knock_p95,lambda_eq_mean,coverage_ok
3,3075.0,55.0,32,400.3078865621532,422.63326773965,423.767606446375,1434.0102132432407,0.7621389608,0.76189194915,170.03874800209064,14.470772867596876,2087.465113888147,166.47296700484375,-2.7437747599,3.5612244898,0.0,0.94068414514375,True
3,3325.0,55.0,129,362.4464858931294,425.3223390508,428.4310550805,1626.2079753473186,0.7682510748488373,0.7676298077,174.16589379565892,14.308349435130234,2097.7719564446697,167.10485992526355,9.561375785848837,13.5,0.0,0.9128296307341086,True
3,3325.0,75.0,56,383.9376522540928,401.45167516725,427.316894531225,1375.3036973136125,0.7632717094839284,0.7533497758000001,178.13453005893751,14.356950273591073,2106.5670473340483,169.614471565775,3.1542223912910714,11.7755102041,0.0,0.9451217321053572,True
3,3575.0,55.0,285,404.5638343681253,433.16375,438.9722190442,1538.9285947504395,0.7816037434733333,0.7798522727,185.70771257464352,14.246759357458595,2127.692617051868,176.51670781536248,8.570471486693684,13.0,0.0,0.9029523266459648,True
3,3575.0,75.0,126,430.9345753449636,432.8726811448,439.21170812075,1577.4756981884416,0.7824007945190476,0.78576008065,201.15830679112145,14.348781072346826,2133.8929385042347,194.2351290033548,10.490107138398413,12.92346938775,0.0,0.9158190464404764,True
3,3575.0,90.0,35,340.1376539408857,338.7261584052,349.94368489585,1594.726657599843,0.7855212119285714,0.7889836449,185.74462104962,14.184724504622858,2142.1537583436766,193.08320057866857,-1.8520625891028573,-2.7941176471,0.0,0.911237682,True
3,3825.0,55.0,489,433.1335427998456,446.345467403,453.4531124933,1692.981019162046,0.8094117755239265,0.8097795064,208.44457972538976,14.141722285542128,2170.065953527064,195.7315326199468,12.345669410153784,13.0,0.0,0.9051498557865032,True
3,3825.0,65.0,22,359.0147089389409,399.0729935564,401.9575162225,1551.0558524782136,0.8184623526363637,0.82390870085,199.3820480413364,13.643654279300002,2193.724113453828,210.4234602427091,5.142335343227273,6.83163265305,0.0,0.8967127524136363,True
3,3825.0,75.0,361,441.5702224367374,451.4661372103,455.3541294643,1742.297165118534,0.8086258798113573,0.8131267123,206.6494104403272,14.060667934343488,2175.9559442977443,204.84426628878668,11.552254198324931,13.0,0.0,0.9113766739002772,True
3,3825.0,90.0,29,353.96801633312754,353.0371204597,361.8720736379,1730.4973052509447,0.8031675711172415,0.8013219178,199.2287008991759,14.183205252110344,2174.264186533059,205.142885771138,7.162243086889656,7.6960784314,0.0,0.9004606528034482,True
3,4075.0,55.0,438,452.0613039342852,455.7346355694,458.813005641575,1834.212636673968,0.8131031036851598,0.82173755925,218.26427505911988,13.744654468258902,2196.002985064501,209.55881033146525,13.650903218129224,13.0,0.0,0.8974434894452056,True
