gear,speed_center,pedal_center,n_samples,eng_torque_mean,eng_torque_p50,axle_torque_mean,cyl_airmass_mean,cyl_airmass_p50,airflow_mass_mean,map_kpa_mean,ve_mgk_kpa_mean,spark_mean,spark_p50,knock_p95,lambda_eq_mean,coverage_ok
3,46.25,35.0,42,344.7172127927214,345.62015133305,1495.2822829767192,0.6148167679214286,0.6168188343000001,112.54944052789762,12.580776198888097,,19.919753736640477,19.80400462075,0.0,1.0007166346357141,True
3,46.25,45.0,31,354.13249615807416,354.1566051136,1523.6963674134647,0.6427838861290323,0.644491,118.47355267936776,12.981950364190324,,18.56452877796129,18.5,0.0,0.9999351464064518,True
3,48.75,45.0,70,364.8228699860086,365.9278026661,1530.0150245501773,0.6558817738557143,0.6525543933,121.42712410298999,13.153775250268572,,18.303538359788572,18.5,0.0,0.999936295532857,True
3,56.25,17.5,59,71.02018594360509,72.3015677728,584.2386592940388,0.24739541581864405,0.2408920188,54.68378637291865,5.339525629438982,,19.114935071350846,19.5,0.0,1.3330494273762714,True
3,56.25,22.5,70,46.689802326227145,45.314543236999995,445.0632354216728,0.2658396942657143,0.27140376104999997,81.03710459664286,4.849618439267142,,29.074588571142858,34.0,0.0,1.0086348694628566,True
3,56.25,65.0,26,415.2832540539462,415.26863744704997,1679.45898701485,0.7411419917000001,0.7416201923,151.84197216717308,14.358736645799999,,13.807289531192309,13.44607843135,0.0,0.9370587400115385,True
3,56.25,75.0,40,419.76353118379245,419.76794226695,1718.1364334880477,0.739232258775,0.73913795035,163.294376878945,14.358736645800002,,15.0,15.0,0.0,0.9120746265799999,True
3,58.75,27.5,75,132.43230193767064,135.9263841439,527.777752209296,0.377252451668,0.3845658784,87.74031250986936,7.759079995617332,,21.455915608296,31.0,0.0,1.0033084383800002,True
3,58.75,75.0,65,425.33009276707384,425.6213378906,1722.90319824254,0.746070117983077,0.7468139269,165.64451982378924,14.358736645800004,,14.754986156000003,14.8921568627,0.0,0.9027754521,True
3,61.25,55.0,21,423.5820877928333,423.5827780948,1572.0543675722715,0.7616401331809523,0.7616165254,172.30489132906663,14.495250968623807,,6.099962270628572,6.0,0.0,0.9045712689809525,True
3,61.25,75.0,90,430.13929883477454,428.56437969925,1894.4414560272648,0.7644904783566665,0.7585533333500001,194.1955219679544,14.273424835094445,,14.40923094818889,14.5,0.0,0.9022006513333333,True
3,63.75,55.0,146,369.3352630826096,426.11238965154996,1707.9878807294685,0.7682551791520548,0.7679864999999999,173.63504547778152,14.295851277450684,,13.577373535031507,13.850140056,0.0,0.8957491845246575,True
3,66.25,55.0,70,431.8717246811942,434.79134765624997,1753.1284270016974,0.7768769017214285,0.7761244939,187.0572539234914,14.154263355359998,,13.36270060002,13.399999999999999,0.0,0.8813314033299999,True
3,68.75,55.0,92,439.6479289963554,440.0298730469,1701.5590270089806,0.7868232652717393,0.79019201805,194.65384688868693,14.252997161385872,,10.107039410372826,12.4494897959,0.0,0.8923597825836955,True
3,68.75,75.0,63,408.923118645592,408.3201794835,2484.8458907135796,0.7167906390714287,0.7146140553,246.51122195619206,13.05516848069365,,17.998121026188887,20.69,0.0,0.9131276756857143,True
3,71.25,55.0,211,416.32135371492745,442.9989939723,1616.0143662522144,0.7954243931516588,0.799425,192.9729173660597,14.284792991194314,,7.425680502502844,12.5,0.0,0.9226574688658769,True
3,71.25,75.0,205,415.98700380873703,432.301007378,1607.943142249776,0.7706490722375612,0.7803668831,206.23160614140244,14.232666539039023,,7.43246543176244,12.5,0.0,1.0068884029219511,True
3,71.25,90.0,70,348.74248650842145,348.47467672415,1794.1730750462646,0.7879351379842857,0.79122840455,226.90796743627715,14.125814317001428,,6.83845011036,9.73641509435,0.0,0.90549794648,True
3,73.75,55.0,316,419.23803243748927,447.62303845639997,1596.556762694002,0.8059996907613924,0.8101757218000001,205.7744651523405,14.154837270118355,,9.68918114975791,13.0,0.0,0.9097022703003165,True
3,73.75,75.0,210,451.18576495706236,452.15664099665,1786.950018791396,0.8105506583252382,0.8127327778,204.62381256993527,14.219002023931907,,13.056339690802858,13.0,0.0,0.9137742211809524,True
3,76.25,55.0,309,448.7565562930252,457.2490212028,1742.044365883763,0.8202841908656958,0.822436019,218.75897821095182,14.033298222136567,,12.897790283129774,13.0,0.0,0.903360442966343,True
3,76.25,65.0,34,451.7064263302,451.7208663893,1849.6233063920092,0.827375765985294,0.8300828059,219.74960116207353,14.189182566247059,,12.943871107264707,12.950490196099999,0.0,0.8888562452441177,True
3,76.25,75.0,200,443.8584168477155,458.77616181409996,1846.9425777057925,0.8227357533435,0.82303180805,210.0992051632085,13.689452376376,,13.160076923077,13.0,0.0,0.9018773678869999,True
3,76.25,90.0,65,386.32172123210916,386.290902561,1791.6275418065525,0.8139362970430769,0.8144292237,205.14520198558,14.2136989019,,10.157611352233845,13.2755102041,0.0,0.895425735153846,True
3,78.75,55.0,203,442.3576922162867,446.8112161276,1821.5910156853215,0.8038827583330049,0.8153228673,215.84502831452411,13.40697410515074,,14.16659886935468,13.5,0.0,0.8955021852674877,True
3,78.75,65.0,119,423.31284140547905,457.5348901896,1730.992119672383,0.8220957873420167,0.830744469,211.39269162747055,14.195350482643697,,7.061822614953781,12.8529411765,0.0,0.8939329749117647,True
3,78.75,75.0,263,437.34685305192244,459.99803011,1768.585250939104,0.8235198126269963,0.826289823,215.20646582560914,14.072967125821291,,9.897147756129659,13.0,0.0,0.9003340048555132,True
