gear,old_tcc_state,new_tcc_state,time_s,speed_mph,slip_rpm,abs_slip_rpm,tcc_line_psi,tcc_desired_slip,brake_pressure,pedal_pct,throttle_pct,delivered_engine_torque,trans_engine_torque,driver_axle_tq_req,tcs_request,tcs_system,tcs_desired_torque,tcs_engine_torque_req,trans_fluid_temp,reason,pre_mean_speed_mph,pre_mean_pedal_pct,pre_mean_pedal_rate,pre_mean_throttle_pct,pre_mean_slip_rpm,pre_mean_tcc_line_psi,pre_mean_brake_pressure,pre_max_brake_pressure,pre_mean_delivered_engine_torque,pre_mean_trans_engine_torque,pre_mean_driver_axle_tq_req,pre_mean_tcs_desired_torque,pre_mean_tcs_engine_torque_req,pre_any_tcs_request,post_mean_speed_mph,post_mean_pedal_pct,post_mean_pedal_rate,post_mean_throttle_pct,post_mean_slip_rpm,post_mean_tcc_line_psi,post_mean_brake_pressure,post_max_brake_pressure,post_mean_delivered_engine_torque,post_mean_trans_engine_torque,post_mean_driver_axle_tq_req,post_mean_tcs_desired_torque,post_mean_tcs_engine_torque_req,post_any_tcs_request
5,LOCKED,PARTIAL,4143.323,40.3891274954,-55.560483871,55.560483871,0.0,12.0,0.0,4.7058823529,6.3294117647,20.6235888416,20.1463735219,20.7992526096,No,On,266.640625,265.5223737398,150.8,TRACTION,40.39095018423066,4.705882352899999,2.376708258939122,6.379136030330666,75.90943554275866,0.0,0.0,0.0,24.90468695462,20.244058162418664,25.15239700821733,266.640625,265.52237373980006,1.0,39.80239584500701,4.705882352899999,0.0,5.865013666074999,30.841616356248,0.0,0.0,0.0,18.837363864643997,18.670807863272003,18.095815599128,266.640625,265.52237373980006,1.0
5,PARTIAL,LOCKED,4143.443,39.7677563032,-49.06640625,49.06640625,0.0,12.0,0.0,4.7058823529,4.6470588235,19.3108805427,18.8078348066,19.401766432,No,On,266.640625,265.5223737398,150.8,TRACTION,40.3673773172862,4.705882352899999,2.048886430119933,6.28753556818161,74.2470818106,0.0,0.0,0.0,24.225983038826435,20.23076167123448,24.46308103543104,266.640625,265.5223737398001,1.0,39.67977014238301,4.705882352899999,0.0,6.0673666072509995,25.419526815561998,0.0,0.0,0.0,18.558856416586003,18.435920341585998,17.815386706166,266.640625,265.52237373980006,1.0
5,LOCKED,PARTIAL,4145.013,39.146385111,-51.625,51.625,0.0,12.0,0.0,0.0,5.482430596,8.4386537447,9.2671115208,-2.0919944598,No,On,266.640625,265.5223737398,149.108,BRAKE,39.331802274751,4.22458521867,-4.293157822575947,5.942280875152001,25.101907480401,0.0,0.0,0.0,15.030533219275,17.764362714748998,12.926111921631,266.640625,265.52237373980006,1.0,38.643417430197,0.0,0.0,5.6981968942120025,100.53326874027798,0.0,8.816472792353,242.6471194853,4.868731384443,7.210033115447999,-15.814630009985999,266.640625,265.52237373980006,1.0
5,PARTIAL,LOCKED,4145.022,39.146385111,-48.5,48.5,0.0,12.0,0.0,0.0,5.2727625704,8.306632384,8.8712336288,-2.454070424,No,On,266.640625,265.5223737398,149.0756,BRAKE,39.325588562829,4.177526395140999,-4.85338191217882,5.957889494836999,25.341907480401,0.0,0.0,0.0,14.929685084184003,17.668122750431998,12.728177061205999,266.640625,265.52237373980006,1.0,38.63833694857272,0.0,0.0,5.702494210614144,101.05885731341212,0.0,8.905528073083838,242.6471194853,4.834005111720201,7.193253312282827,-15.949585157319193,266.640625,265.52237373980006,1.0
5,LOCKED,PARTIAL,4145.033,39.146385111,-51.9696969697,51.9696969697,0.0,12.0,0.0,0.0,5.0165016502,8.145272943,8.9839167349,-2.8966077135,No,On,266.640625,265.5223737398,149.0,BRAKE,39.319374850906996,4.130467571611999,-4.853381912178819,5.971401434265999,25.53079636929,0.0,0.0,0.0,14.8276410639,17.568756738653995,12.526621441139003,266.640625,265.52237373980006,1.0,38.63099000635099,0.0,0.0,5.728637585340002,101.60062534201,0.0,14.551768343824001,301.470663603,4.793969926195,7.178994041666999,-16.141163089787998,266.640625,265.52237373980006,1.0
5,PARTIAL,OPEN,4145.384,38.5250139187,-120.2025862069,120.2025862069,0.0,12.0,0.0,0.0,5.9061200238,4.1781400562,9.9570890152,-17.017570317,No,On,266.640625,265.5223737398,149.0,BRAKE,39.041094993269,2.4834087480969997,-4.85338191217882,5.369377337734999,46.79681716414299,0.0,0.0,0.0,10.454100521341001,13.233786646891003,2.9223553376519993,266.640625,265.52237373980006,1.0,38.47899173597051,0.0,0.0,6.676622433506413,105.99755005433336,0.0,86.13916180627949,474.0001185,4.368298967861539,7.62790250394615,-19.287759940684616,266.640625,265.52237373980006,1.0
5,OPEN,PARTIAL,4145.493,38.5250139187,-118.625,118.625,0.0,12.0,0.0,0.0,6.7176470588,4.2305649425,9.9095043605,-19.8551730585,No,On,266.640625,265.5223737398,149.0,BRAKE,38.97274416211601,1.9657616892779999,-4.853381912178819,5.268361691072,59.318701908767,0.0,0.0,0.0,9.052351241046,12.311761096289999,-1.102745660331,266.640625,265.52237373980006,1.0,38.47143585522387,0.0,0.0,6.723967210911941,102.34923766030747,0.0,100.28141225208658,474.0001185,4.394788429046269,7.1872608126432835,-19.31065642154179,266.640625,265.52237373980006,1.0
5,OPEN,PARTIAL,4226.523,47.8455818023,118.25,118.25,40.8924561645,12.0,0.0,18.8235294118,28.4862745098,191.7383234341,194.3937239689,430.8774286919,No,On,266.640625,265.5223737398,152.6,TRACTION,47.446648943890914,18.823529411800003,0.0,28.242931502500003,313.6851612155182,29.85791636637071,0.0,0.0,165.86520582558887,170.07403722558382,421.21893980021514,266.640625,265.52237373980006,1.0,48.19570544753602,18.823529411800003,0.0,28.470486432938998,50.593689518576,43.826436024204014,0.0,0.0,197.08763242482598,194.905442490311,438.69270924987393,266.640625,265.52237373980006,1.0
5,PARTIAL,LOCKED,4227.082,48.4669529945,49.5,49.5,45.2374477704,12.0,0.0,18.8235294118,28.6076450782,197.5487012987,195.6383600958,439.5144938726,No,On,266.640625,265.5223737398,152.6,TRACTION,47.86289903698602,18.823529411800003,0.0,28.509624876191992,141.68114034681,39.939198653657,0.0,0.0,188.64570395909502,190.70559461060995,431.47360739919003,266.640625,265.52237373980006,1.0,48.63728180365602,17.758572146825998,-3.6203538655445753,26.707542389534993,24.754450727785002,42.629909342572,0.0,0.0,184.17173619322503,191.83948646598404,419.24648902616605,266.640625,265.52237373980006,1.0
5,LOCKED,PARTIAL,4227.094,48.4669529945,50.875,50.875,45.3514895449,12.0,0.0,18.8235294118,28.6274509804,197.6311383929,195.4047987485,439.6595880659,No,On,266.640625,265.5223737398,152.6,TRACTION,47.88190338861719,18.823529411800003,0.0,28.508034594286872,137.2338823965818,40.16747231045455,0.0,0.0,189.1367037813586,191.0974926310535,431.75628279816254,266.640625,265.52237373980006,1.0,48.64349551557802,17.719356460550998,-3.6203538655445753,26.617346311103994,24.989606977785,42.465472800427996,0.0,0.0,183.672266779126,191.35949212232103,418.18493017045097,266.640625,265.52237373980006,1.0
5,PARTIAL,LOCKED,4227.103,48.4669529945,49.3051470588,49.3051470588,45.3295584344,12.0,0.0,18.8235294118,28.6274509804,197.6929662135,195.0851884838,439.7684087109,No,On,266.640625,265.5223737398,152.6,TRACTION,47.88775388467602,18.823529411800003,0.0,28.509228758148,136.370293572616,40.219312482799,0.0,0.0,189.221648127474,191.14056569222797,431.8353158508399,266.640625,265.52237373980006,1.0,48.64970922750002,17.680140774275998,-3.6203538655445753,26.527150232672994,25.309850961742,42.301474880494,0.0,0.0,183.16344486368402,190.85057423932003,417.097563503501,266.640625,265.52237373980006,1.0
5,LOCKED,PARTIAL,4228.054,49.0883241867,57.5,57.5,29.4282148921,12.0,0.0,14.9019607843,19.6078431373,151.0905440065,156.5475661841,343.1443483604,No,On,266.640625,265.5223737398,152.6,TRACTION,48.61242695596802,17.915434891925997,-3.6203538655445753,27.065910383194996,24.375438631010997,43.268171272949004,0.0,0.0,186.07533316282397,193.583627636365,423.23331630657697,266.640625,265.52237373980006,1.0,49.08832418670002,14.225339366507,-0.7913219678045431,19.568666270564,63.432276712118004,29.459880333127003,0.0,0.0,122.420535262381,117.92896253275103,255.866858356017,266.640625,265.52237373980006,1.0
5,PARTIAL,LOCKED,4228.742,49.0883241867,49.5,49.5,29.8571448741,12.0,0.0,14.1176470588,19.2156862745,115.3092191023,110.265541317,228.4672513601,No,On,266.640625,265.5223737398,152.6,TRACTION,49.04117307858601,14.792408245346001,-4.1913351717814225,20.735918701685,60.475614591624996,31.68026447868401,0.0,0.0,138.862004597384,141.81067727795298,302.590060478191,266.640625,265.52237373980006,1.0,48.99417211364547,13.838203784719195,-0.04429891520298553,18.9823640474798,26.73221677977374,28.995029656546464,0.0,0.0,110.24070285543029,108.52271746502424,249.15357420634547,266.640625,265.52237373980006,1.0
5,LOCKED,PARTIAL,4229.682,49.0883241867,50.5,50.5,24.3844706927,12.0,0.0,13.3333333333,16.3308095515,108.588671875,100.5096056151,258.6814645203,No,On,266.640625,265.5223737398,152.6,TRACTION,48.994172113645455,13.86989322817172,-1.0503129931400814,19.099730507833332,26.34326619437475,29.317208876653538,0.0,0.0,110.66486756659192,109.27923227498081,247.2718145055354,266.640625,265.52237373980006,1.0,48.60791802402801,14.385947712435996,2.0283719549717123,20.538505019113998,60.13010569563,28.648978529143,0.0,0.0,110.163619549912,106.71416940130798,254.42440907621403,266.640625,265.52237373980006,1.0
5,PARTIAL,LOCKED,4229.693,49.0883241867,48.96484375,48.96484375,24.4835798177,12.0,0.0,13.3333333333,16.6686472569,108.6015625,99.4233777226,258.5654343912,No,On,266.640625,265.5223737398,152.6,TRACTION,48.995113634376004,13.864527629223005,-0.4795857736058069,19.072041298269998,26.584833532431002,29.267881494814002,0.0,0.0,110.644105609676,109.191536008382,247.38591100568306,266.640625,265.52237373980006,1.0,48.60170431210602,14.405555555573997,2.0283719549717123,20.587504821055003,59.932110483936,28.735600762140002,0.0,0.0,110.21625268475199,106.90915754214001,254.38635660980503,266.640625,265.52237373980006,1.0
5,LOCKED,PARTIAL,4229.702,49.0883241867,53.5,53.5,24.3908694167,12.0,0.0,13.7254901961,17.0251534957,108.612109375,96.98942263,258.4705006492,No,On,266.640625,265.5223737398,152.6,TRACTION,48.99511363437601,13.856684491968004,-0.4795857736058072,19.046570908093997,26.530575719931004,29.215299269411993,0.0,0.0,110.570771116652,109.08852316153302,247.70938028641203,266.640625,265.52237373980006,1.0,48.59678895983738,14.41242490263939,1.6087294014311728,20.62348816777576,59.997081296905066,28.77948693734647,0.0,0.0,110.23245615252728,107.00935688468687,254.34510262960913,266.640625,265.52237373980006,1.0
5,PARTIAL,LOCKED,4230.393,48.4669529945,49.96875,49.96875,31.9109353907,12.0,0.0,14.9019607843,21.5884333531,111.0083511469,109.5856012106,251.813213569,No,On,266.640625,265.5223737398,152.6,TRACTION,48.70111882936402,13.818954248376997,2.150225410200899,19.394265865789997,55.149054168595,26.690900201429,0.0,0.0,108.972859510721,105.17708906580897,256.398400493358,266.640625,265.52237373980006,1.0,48.46695299450002,15.278431372587995,0.35650623889541416,21.387352825478004,28.617330774433,32.850220854193,0.0,0.0,115.85301299286101,119.24130425650903,256.703799630252,266.640625,265.52237373980006,1.0
5,LOCKED,PARTIAL,4235.402,48.4669529945,51.375,51.375,27.8744414053,12.0,0.0,14.9019607843,21.1215686275,116.9113435325,116.9036006604,232.0050057893,No,On,266.640625,265.5223737398,152.6,TRACTION,48.46695299450002,13.865108094497998,1.4259233866608674,19.220684888098994,19.990970850136,29.389968753410006,0.0,0.0,106.11545984177101,105.34394687671201,216.46450797589492,266.640625,265.52237373980006,1.0,48.46695299450002,14.847058823521998,-0.3921568626914403,20.622627450981,49.369527276731986,30.582244746657,0.0,0.0,120.642480581178,118.55165936154197,243.96366702928003,266.640625,265.52237373980006,1.0
5,PARTIAL,LOCKED,4235.902,48.4669529945,50.0,50.0,30.8567800141,12.0,0.0,14.9019607843,20.4470588235,120.9090638602,115.7749070684,246.5103922669,No,On,266.640625,265.5223737398,152.6,TRACTION,48.46695299450002,14.642232277513,1.7164099516953826,20.412045949686,42.04420530914201,29.093526800487997,0.0,0.0,115.304468861531,113.06261493886,231.11199664286502,266.640625,265.52237373980006,1.0,48.46695299450002,14.650980392171999,-0.3921568626914403,20.284862745100998,25.793240589555,32.23571160353001,0.0,0.0,120.14128332560603,118.18133288111801,244.94311783290098,266.640625,265.52237373980006,1.0
