gear,speed_bin_mph,pedal_bin_pct,LOCKED,OPEN,PARTIAL,total_time_s,frac_locked,frac_partial,frac_open
3,20,0,0.21000000000003638,2.6059999999981187,10.526999999999646,13.3429999999978,0.01573858952260144,0.7889530090685288,0.19530840140886968
3,20,1,0.02200000000084401,0.0,0.0,0.02200000000084401,1.0,0.0,0.0
3,20,2,0.029999999998835847,0.0,0.0,0.029999999998835847,1.0,0.0,0.0
3,20,3,0.09900000000016007,0.0,0.0,0.09900000000016007,1.0,0.0,0.0
3,20,4,0.03099999999994907,0.0,0.0,0.03099999999994907,1.0,0.0,0.0
3,20,5,0.009000000000014552,0.0,0.0,0.009000000000014552,1.0,0.0,0.0
3,20,7,4.881999999999607,0.0,0.11000000000058208,4.992000000000189,0.9779647435896278,0.022035256410372177,0.0
3,20,9,0.0,0.01999999999998181,0.03999999999996362,0.05999999999994543,0.0,0.6666666666666666,0.3333333333333333
3,20,11,0.0,0.0,0.049999999999954525,0.049999999999954525,0.0,1.0,0.0
3,20,12,0.0,0.0,0.01999999999998181,0.01999999999998181,0.0,1.0,0.0
3,20,13,0.0,0.0,0.010999999999967258,0.010999999999967258,0.0,1.0,0.0
3,20,14,0.0,0.0,0.009999999999990905,0.009999999999990905,0.0,1.0,0.0
3,20,15,0.0,0.07900000000017826,0.009999999999990905,0.08900000000016917,0.0,0.112359550561482,0.887640449438518
3,20,16,0.0,0.4210000000000491,0.04899999999997817,0.4700000000000273,0.0,0.10425531914888368,0.8957446808511164
3,20,17,0.0,0.40699999999969805,0.009999999999990905,0.41699999999968895,0.0,0.0239808153477179,0.9760191846522821
3,20,18,0.0,0.666999999999689,0.0,0.666999999999689,0.0,0.0,1.0
3,20,19,0.0,0.2130000000004202,0.0,0.2130000000004202,0.0,0.0,1.0
3,20,20,0.0,0.049999999999954525,0.0,0.049999999999954525,0.0,0.0,1.0
3,20,21,0.0,0.03099999999994907,0.0,0.03099999999994907,0.0,0.0,1.0
3,21,0,0.20399999999926877,6.176000000000045,10.29400000000112,16.674000000000433,0.012234616768577634,0.6173683579225652,0.37039702530885715
3,21,1,0.052000000000134605,0.0,0.0,0.052000000000134605,1.0,0.0,0.0
3,21,2,0.03900000000021464,0.0,0.0,0.03900000000021464,1.0,0.0,0.0
3,21,3,0.13999999999987267,0.0,0.0,0.13999999999987267,1.0,0.0,0.0
3,21,4,0.3789999999999054,0.0,0.0,0.3789999999999054,1.0,0.0,0.0
3,21,5,0.26299999999991996,0.0,0.016999999999825377,0.27999999999974534,0.9392857142862827,0.06071428571371728,0.0
3,21,6,0.0,0.0,0.06100000000014916,0.06100000000014916,0.0,1.0,0.0
3,21,7,1.0409999999992579,0.0,0.20899999999983265,1.2499999999990905,0.8328000000000122,0.16719999999998778,0.0
3,21,8,0.0,0.08000000000038199,0.09100000000034925,0.17100000000073123,0.0,0.5321637426898252,0.4678362573101748
3,21,9,0.0,0.0,0.3100000000001728,0.3100000000001728,0.0,1.0,0.0
3,21,10,0.0,0.0,0.03999999999996362,0.03999999999996362,0.0,1.0,0.0
3,21,11,0.0,0.0,0.019000000000005457,0.019000000000005457,0.0,1.0,0.0
