gear,tcc_state,pedal_bin,total_time_s,n_samples,mean_speed_mph,mean_pedal_pct,mean_throttle_pct,mean_slip_rpm,mean_tcc_line_psi
4,LOCKED,"[0, 5)",5.0069999999998345,500,44.792364057465605,1.5601809954766004,9.9921533597694,23.8217602789382,9.509263741041199
4,LOCKED,"[10, 15)",0.5959999999986394,59,42.93430349251017,10.900120152361017,14.74615911438475,32.83937134688475,8.10037236540339
4,LOCKED,"[15, 20)",0.03900000000021464,4,39.612413505125,17.149321266975,16.3850340136,42.51118951615,3.562772861325
4,LOCKED,"[20, 30)",0.15000000000009095,15,38.52501391869999,25.969666499086667,20.80122345968,20.319815188179998,0.0
4,LOCKED,"[30, 40)",0.042000000000371074,4,41.266357413875,34.824929972025,41.910017126275,36.900390625,28.9820916338
4,LOCKED,"[40, 60)",0.09999999999990905,10,44.1173546489,41.04072398189,58.66666666668,33.36519657258,43.06671570175
4,LOCKED,"[5, 10)",1.9219999999993433,192,41.954644117047394,7.7812866599640635,11.03074313631302,32.59501607007135,1.6960398668791665
4,OPEN,"[0, 5)",0.7729999999996835,77,41.680431245201305,0.5953379444584416,9.468675634906493,285.8417316347519,7.669505223371427
4,OPEN,"[10, 15)",2.078999999999496,208,42.58723747134518,12.208822875769714,17.41376779556827,298.8491678720327,2.701112642115384
4,OPEN,"[15, 20)",8.35700000000088,836,41.081647126175476,17.282432284545575,23.719055454585167,277.6377859326531,7.009160571426435
4,OPEN,"[20, 30)",39.633999999999446,3964,40.881453313012685,23.832322892662486,31.24344999294147,460.1496374862481,3.9397023264223012
4,OPEN,"[30, 40)",18.771000000000186,1877,45.33459592887917,33.189289895692006,37.526194075453326,630.5417595371948,1.2392538206634522
4,OPEN,"[40, 60)",1.345999999999549,135,46.7896979595037,43.919202076064444,65.85827231909332,673.8058786586215,0.38565397476222224
4,OPEN,"[5, 10)",1.0280000000007021,103,46.154262678747585,7.5276306915378655,14.167671855731067,246.96400065497377,0.3406802831466019
4,PARTIAL,"[0, 5)",1.372000000000071,137,43.03568524929854,0.7397804714240875,9.29667835240949,76.65462302911605,9.771619782363503
4,PARTIAL,"[10, 15)",2.5450000000018917,255,42.43807594584157,12.146097654752937,16.03999219852745,85.8421818047545,4.177403606704313
4,PARTIAL,"[15, 20)",2.348999999999023,235,42.48389682915787,16.531711648114893,21.98113581430085,93.49264730566212,14.533621474788085
4,PARTIAL,"[20, 30)",0.08300000000008367,8,42.408583870225,21.5056022409,31.892729959274998,95.57024208372499,27.044369434449997
4,PARTIAL,"[30, 40)",0.13799999999946522,14,39.981842176135714,32.71708683475715,36.8543517723,78.40540394585716,18.399683516942854
4,PARTIAL,"[40, 60)",0.068000000000211,7,44.1173546489,44.740357681542854,62.539495798314285,82.73797523041428,22.49029373582857
4,PARTIAL,"[5, 10)",2.117999999999711,213,45.65931326153099,7.1243671177380286,11.689457416876527,78.75105941920376,1.910231363141784
5,LOCKED,"[0, 5)",37.76900000000114,3777,42.61072823694837,2.8612621473412236,6.219214853747868,24.21160279148785,4.958307497651257
5,LOCKED,"[10, 15)",204.4729999999986,20446,46.6876176222839,13.535606091275266,17.76514930920037,15.819331917553326,29.57079250050278
5,LOCKED,"[15, 20)",172.0160000000012,17202,46.55221484638174,16.64238624775316,23.265006879117713,15.862522947304987,38.6623303513328
5,LOCKED,"[20, 30)",2.6579999999999018,266,47.03777762294172,20.886452728556392,34.52532335024624,20.90249343536842,53.00113037703873
5,LOCKED,"[30, 40)",0.010000000000218279,1,46.6028394178,30.1960784314,55.2156862745,43.7258064516,52.7121550477
5,LOCKED,"[5, 10)",55.250999999997816,5526,43.44541789248368,7.648129191915816,9.111811110462524,24.313351703772152,8.956148715146272
5,OPEN,"[0, 5)",12.439999999998918,1245,40.1532379291065,0.4332226557616064,6.138234350522651,174.495393765641,0.4739770199874698
5,OPEN,"[10, 15)",70.70700000000068,7070,41.92890308135874,13.618514788032094,15.789545881996167,186.08543057373916,2.9393142299540167
5,OPEN,"[15, 20)",301.0849999999999,30110,41.98877522780059,17.31311537341069,22.16925756300968,332.47010914236085,1.711516449692478
5,OPEN,"[20, 30)",77.18900000000144,7719,44.155992571941624,21.760788341332812,29.388266222069127,553.3947694399602,0.7220105017571705
5,OPEN,"[30, 40)",2.8359999999997854,284,45.41759871123345,33.24203493735106,38.42904551510739,652.44180504573,3.1812351864792254
5,OPEN,"[40, 60)",0.6929999999995289,69,44.57095032189854,46.60801072567537,73.80083135744202,814.1777767982811,0.0
5,OPEN,"[5, 10)",3.13699999999983,314,44.17183354427102,7.987381150545858,9.481677890464969,225.4826767303748,8.472607956549998
5,OPEN,"[60, 100)",0.49099999999998545,49,50.06399238857754,65.77400190844081,94.10197762474897,906.621319192998,0.0
5,PARTIAL,"[0, 5)",60.203999999998814,6019,39.66428861110425,0.6106981636451569,6.697093741043629,90.8489778711977,0.4041129441359362
5,PARTIAL,"[10, 15)",124.14799999999912,12416,42.789513645180406,12.077524886547671,14.06578358121092,89.41638860987159,7.1580638077246865
5,PARTIAL,"[15, 20)",22.214000000001533,2222,45.92741131949055,16.52676466741575,22.832714262284338,78.50176211807002,31.637155036490142
5,PARTIAL,"[20, 30)",0.7110000000002401,71,47.36091227231269,21.014978761456334,37.08408004567465,66.25666165698873,51.96506024124648
5,PARTIAL,"[30, 40)",0.0500000000001819,5,46.6028394178,30.771241830079997,52.67450980394,90.60947580646,52.45158567589999
5,PARTIAL,"[5, 10)",35.36799999999914,3535,42.916761831569055,8.699783479119576,9.886214994320058,68.0843091077439,4.935756603080339
