gear,speed_bin_mph,pedal_bin_pct,LOCKED,OPEN,PARTIAL,total_time_s,frac_locked,frac_partial,frac_open,LOCKED_smoothed,PARTIAL_smoothed,OPEN_smoothed,total_time_s_smoothed,frac_locked_smoothed,frac_partial_smoothed,frac_open_smoothed
3,20,0,0.21000000000003638,2.6059999999981187,10.526999999999646,13.3429999999978,0.01573858952260144,0.7889530090685288,0.19530840140886968,0.12200000000007094,5.205250000000191,2.195499999999541,7.522749999999803,0.016217473663231417,0.6919344654548307,0.2918480608819379
3,20,1,0.02200000000084401,0.0,0.0,0.02200000000084401,1.0,0.0,0.0,0.09283333333322237,3.470166666666794,1.4636666666663605,5.026666666666377,0.0184681697612522,0.6903514588860068,0.291180371352741
3,20,2,0.029999999998835847,0.0,0.0,0.029999999998835847,1.0,0.0,0.0,0.06366666666667697,0.0,0.0,0.06366666666667697,1.0,0.0,0.0
3,20,3,0.09900000000016007,0.0,0.0,0.09900000000016007,1.0,0.0,0.0,0.11966666666648962,0.0,0.0,0.11966666666648962,1.0,0.0,0.0
3,20,4,0.03099999999994907,0.0,0.0,0.03099999999994907,1.0,0.0,0.0,0.1534999999999703,0.0028333333333042296,0.0,0.15633333333327454,0.9818763326227806,0.018123667377219373,0.0
3,20,5,0.009000000000014552,0.0,0.0,0.009000000000014552,1.0,0.0,0.0,0.1136666666666315,0.012999999999995756,0.0,0.12666666666662726,0.897368421052633,0.10263157894736684,0.0
3,20,7,4.881999999999607,0.0,0.11000000000058208,4.992000000000189,0.9779647435896278,0.022035256410372177,0.0,0.9871666666664775,0.07850000000015218,0.013333333333396999,1.0790000000000266,0.9148903305527832,0.07275254865630236,0.01235712079091443
3,20,9,0.0,0.01999999999998181,0.03999999999996362,0.05999999999994543,0.0,0.6666666666666666,0.3333333333333333,0.0,0.08016666666674155,0.0166666666667273,0.09683333333346884,0.0,0.8278829604126956,0.1721170395873044
3,20,11,0.0,0.0,0.049999999999954525,0.049999999999954525,0.0,1.0,0.0,0.006666666666660603,0.021499999999984237,0.004999999999957557,0.033166666666602396,0.20100502512583485,0.6482412060309316,0.15075376884323355
3,20,12,0.0,0.0,0.01999999999998181,0.01999999999998181,0.0,1.0,0.0,0.006666666666660603,0.01666666666665151,0.004999999999957557,0.028333333333269668,0.23529411764737354,0.5882352941184339,0.17647058823419265
3,20,13,0.0,0.0,0.010999999999967258,0.010999999999967258,0.0,1.0,0.0,0.006666666666660603,0.010166666666653631,0.00833333333328786,0.025166666666602097,0.26490066225209435,0.4039735099342933,0.33112582781361216
3,20,14,0.0,0.0,0.009999999999990905,0.009999999999990905,0.0,1.0,0.0,0.0,0.00849999999998848,0.016500000000026677,0.025000000000015156,0.0,0.3399999999993331,0.6600000000006669
3,20,15,0.0,0.07900000000017826,0.009999999999990905,0.08900000000016917,0.0,0.112359550561482,0.887640449438518,0.008499999999912689,0.018166666666653935,0.35333333333339095,0.3799999999999576,0.02236842105240431,0.04780701754383148,0.9298245614037641
3,20,16,0.0,0.4210000000000491,0.04899999999997817,0.4700000000000273,0.0,0.10425531914888368,0.8957446808511164,0.008499999999912689,0.021833333333347582,0.5849999999999606,0.6153333333332208,0.013813651137455432,0.03548212351032217,0.9507042253522224
