gear,speed_bin_mph,pedal_bin_pct,LOCKED,OPEN,PARTIAL,total_time_s,frac_locked,frac_partial,frac_open,LOCKED_smoothed,PARTIAL_smoothed,OPEN_smoothed,total_time_s_smoothed,frac_locked_smoothed,frac_partial_smoothed,frac_open_smoothed
3,20,0,0.0,13.3429999999978,0.0,13.3429999999978,0.0,0.0,1.0,0.0,0.0,7.522749999999803,7.522749999999803,0.0,0.0,1.0
3,20,1,0.0,0.02200000000084401,0.0,0.02200000000084401,0.0,0.0,1.0,0.0,0.0,5.026666666666377,5.026666666666377,0.0,0.0,1.0
3,20,2,0.0,0.029999999998835847,0.0,0.029999999998835847,0.0,0.0,1.0,0.0,0.0,0.06366666666667697,0.06366666666667697,0.0,0.0,1.0
3,20,3,0.0,0.09900000000016007,0.0,0.09900000000016007,0.0,0.0,1.0,0.0,0.0,0.11966666666648962,0.11966666666648962,0.0,0.0,1.0
3,20,4,0.0,0.03099999999994907,0.0,0.03099999999994907,0.0,0.0,1.0,0.0,0.0,0.1563333333332745,0.1563333333332745,0.0,0.0,1.0
3,20,5,0.0,0.009000000000014552,0.0,0.009000000000014552,0.0,0.0,1.0,0.0,0.0,0.12666666666662726,0.12666666666662726,0.0,0.0,1.0
3,20,7,0.0,4.992000000000189,0.0,4.992000000000189,0.0,0.0,1.0,0.0,0.0,1.0790000000000266,1.0790000000000266,0.0,0.0,1.0
3,20,9,0.0,0.05999999999994543,0.0,0.05999999999994543,0.0,0.0,1.0,0.0,0.0,0.09683333333346884,0.09683333333346884,0.0,0.0,1.0
3,20,11,0.0,0.049999999999954525,0.0,0.049999999999954525,0.0,0.0,1.0,0.0,0.0,0.033166666666602396,0.033166666666602396,0.0,0.0,1.0
3,20,12,0.0,0.01999999999998181,0.0,0.01999999999998181,0.0,0.0,1.0,0.0,0.0,0.028333333333269668,0.028333333333269668,0.0,0.0,1.0
3,20,13,0.0,0.010999999999967258,0.0,0.010999999999967258,0.0,0.0,1.0,0.0,0.0,0.025166666666602094,0.025166666666602094,0.0,0.0,1.0
